矩阵规模*稀疏度,平凡算法时长,SSE时长,AVX平均时长,静态线程分配时长,动态线程分配时长,静态线程+sse时长,静态线程+avx时长
20109,0.290333,0.122247,0.0771731,0.0747848,0.000507,0.0380142,0.0184852
20109,0.290361,0.121957,0.0796226,0.0703342,0.0004635,0.0439561,0.0224476
20208,0.289836,0.124028,0.0771665,0.0669978,0.0004555,0.0366946,0.0234876
20005,0.282727,0.121578,0.0773499,0.0744474,0.0006053,0.0384417,0.0230376
20247,0.291361,0.123546,0.0768089,0.0688156,0.0004257,0.0509795,0.0181025
20318,0.290919,0.124617,0.0775408,0.0839045,0.0006995,0.0436063,0.0226141
20318,0.289213,0.125079,0.0782861,0.0776875,0.0006164,0.0427376,0.0185134
20110,0.288461,0.122765,0.0774859,0.0760829,0.0003882,0.0483035,0.0166709
20039,0.287663,0.120453,0.0760314,0.0713382,0.0004664,0.0391593,0.0222895
20138,0.302713,0.145907,0.0761972,0.0842035,0.0005488,0.041054,0.022905
20132,0.279736,0.120964,0.0752427,0.0672546,0.0003984,0.0463093,0.0182713
20262,0.287202,0.122876,0.0770655,0.0870285,0.0006058,0.0460908,0.0242312
20262,0.288531,0.125416,0.0763246,0.0740341,0.0005339,0.0421457,0.0203101
20252,0.289942,0.121017,0.0755651,0.0698441,0.0006627,0.0407929,0.0204357
20085,0.287168,0.120125,0.0782597,0.0705004,0.0005228,0.0371205,0.0249221
20302,0.300586,0.12428,0.0756498,0.0711264,0.0005232,0.041539,0.0248831
20212,0.292141,0.122284,0.0761717,0.0779256,0.0006666,0.0376366,0.0190216
20212,0.286812,0.12035,0.0759625,0.0698448,0.0006392,0.0422767,0.0215061
20237,0.287781,0.121508,0.0772121,0.0706858,0.0005584,0.0345365,0.0190658
20223,0.289587,0.123223,0.0769546,0.0734499,0.0006414,0.0406494,0.0249677
19705,0.282062,0.119426,0.0730526,0.0697358,0.0005812,0.0423531,0.0249338
20101,0.285084,0.121808,0.0769816,0.0657364,0.0006844,0.0426884,0.0174419
20101,0.281892,0.11987,0.0745701,0.0672239,0.0005242,0.0369578,0.0259257
20263,0.284119,0.124384,0.0772564,0.0769893,0.0004049,0.0412939,0.020019
20235,0.295264,0.127154,0.0784932,0.0858692,0.0006192,0.0339772,0.0350264
20258,0.290913,0.128824,0.0761525,0.0737247,0.0004002,0.0452637,0.0290632
19969,0.284514,0.12489,0.0769733,0.07141,0.0003428,0.0396582,0.021224
44944,0.957973,0.410727,0.25614,0.226159,0.003282,0.128934,0.0706807
45600,0.9963,0.445271,0.272502,0.329565,0.0002585,0.184366,0.0949816
45515,1.01924,0.432631,0.266526,0.321287,0.0003264,0.164301,0.0834271
45162,1.00704,0.439981,0.261872,0.322323,0.0003181,0.17024,0.0920784
45196,1.01093,0.469211,0.296419,0.334513,0.0002667,0.173757,0.0946087
45107,0.998553,0.533163,0.265506,0.317947,0.0002472,0.170424,0.0951206
45536,0.959233,0.425422,0.260028,0.258186,0.0002227,0.143151,0.0672001
45600,0.962267,0.421736,0.250777,0.25464,0.0002966,0.154822,0.0756906
45503,0.976243,0.417299,0.24977,0.245435,0.0003662,0.129774,0.0749638
45091,0.954596,0.414423,0.244739,0.240482,0.0004854,0.142836,0.0750771
45167,0.954995,0.428788,0.248458,0.246393,0.0003192,0.134911,0.0736054
45263,0.962293,0.41184,0.247841,0.262554,0.0005021,0.124012,0.0891402
45018,0.957889,0.418544,0.264465,0.315365,0.0002927,0.17173,0.0896331
45016,1.02045,0.442843,0.264478,0.344822,0.0002501,0.171014,0.0906543
45586,1.06171,0.437015,0.271841,0.312841,0.0002908,0.188164,0.0970946
44861,1.08282,0.564632,0.268639,0.330361,0.0002475,0.174003,0.0872683
45811,1.07677,0.454455,0.305052,0.311019,0.0002731,0.185958,0.0928425
45102,1.02881,0.447102,0.26526,0.31916,0.000324,0.179892,0.11771
